close,return,realreturn,direction,future_direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
232.99,0.013829686,3.2,1,1,3,1,3,2,0,3.2,1,3.2,38.67684478
234.28,0.005521447,1.29,1,-1,3,3,1,3,2,1.29,1,1.29,40.08287293
233.09,-0.005092336,-1.19,-1,-1,2,3,3,1,3,1.19,0,0,40.20504295
228.71,-0.01896982,-4.38,-1,1,1,2,3,3,1,4.38,0,0,29.39896655
234.35,0.024360899,5.64,1,-1,0,1,2,3,3,5.64,1,5.64,43.77328366
233.03,-0.005648524,-1.32,-1,1,3,0,1,2,3,1.32,0,0,41.24574719
233.45,0.001800721,0.42,1,1,1,3,0,1,2,0.42,1,0.42,43.93157752
234,0.002353194,0.55,1,1,2,1,3,0,1,0.55,1,0.55,48.90382929
234.16,0.000683527,0.16,1,-1,2,2,1,3,0,0.16,1,0.16,53.63607494
232.82,-0.00573902,-1.34,-1,1,2,2,2,1,3,1.34,0,0,63.30584708
233.48,0.002830798,0.66,1,-1,1,2,2,2,1,0.66,1,0.66,63.41554559
230.02,-0.014930159,-3.46,-1,1,2,1,2,2,2,3.46,0,0,53.03084013
230.55,0.002301497,0.53,1,1,0,2,1,2,2,0.53,1,0.53,56.99043414
232.32,0.007647973,1.77,1,-1,2,0,2,1,2,1.77,1,1.77,54.88228483
231.8,-0.002240801,-0.52,-1,1,3,2,0,2,1,0.52,0,0,47.43865691
233.06,0.005421,1.26,1,-1,1,3,2,0,2,1.26,1,1.26,47.37068966
231.38,-0.007234551,-1.68,-1,-1,2,1,3,2,0,1.68,0,0,46.39088223
229.61,-0.007679163,-1.77,-1,1,1,2,1,3,2,1.77,0,0,52.13472486
233.66,0.01748485,4.05,1,-1,1,1,2,1,3,4.05,1,4.05,48.22986147
232.26,-0.006009633,-1.4,-1,-1,3,1,1,2,1,1.4,0,0,48.03270312
230.34,-0.008300956,-1.92,-1,1,1,3,1,1,2,1.92,0,0,42.61983863
233.09,0.011868167,2.75,1,-1,0,1,3,1,1,2.75,1,2.75,48.04469274
232.27,-0.003524157,-0.82,-1,-1,3,0,1,3,1,0.82,0,0,46.05098203
231.67,-0.002586543,-0.6,-1,1,1,3,0,1,3,0.6,0,0,47.52048297
232.92,0.005381102,1.25,1,1,1,1,3,0,1,1.25,1,1.25,48.82253995
234.43,0.006461989,1.51,1,1,2,1,1,3,0,1.51,1,1.51,60.10077874
234.99,0.002385924,0.56,1,1,2,2,1,1,3,0.56,1,0.56,60.15553522
236.48,0.006320678,1.49,1,-1,2,2,2,1,1,1.49,1,1.49,59.63855422
236.29,-0.000803774,-0.19,-1,1,2,2,2,2,1,0.19,0,0,60.56470588
237.21,0.003885961,0.92,1,1,1,2,2,2,2,0.92,1,0.92,59.92348159
237.41,0.00084278,0.2,1,1,2,1,2,2,2,0.2,1,0.2,65.51724138
238.71,0.005460822,1.3,1,1,2,2,1,2,2,1.3,1,1.3,73.9978903
239.02,0.001297804,0.31,1,-1,2,2,2,1,2,0.31,1,0.31,67.60840999
